sec,nat,scho,town,sect,study,final
87.59,58,1281,35,9,5,5
91.3,58,1893,35,9,5,5
92.74,58,1281,35,9,5,5
72.71,58,2028,35,9,5,5
91.48,58,2005,35,9,5,5
82.45,58,635,35,9,5,5
79.35,58,2324,35,9,4,4
80.67,58,1531,35,8,2,4
92.28,58,2004,35,8,3,6
74.35,58,2279,35,9,5,4
54.81,58,417,35,8,3,3
62.03,58,2410,35,8,3,3
92.11,58,2033,35,8,3,6
79.47,22,417,35,8,3,5
65.28,58,524,35,9,5,4
79.15,58,181,35,8,5,5
92.22,58,2308,35,8,5,5
86.09,58,1159,35,9,5,5
90.3,58,2308,35,8,5,5
74.36,58,47,35,8,3,5
64.89,58,1281,35,9,5,4
93.07,58,1551,35,8,5,5
63.19,58,353,35,9,5,4
56.94,58,59,35,8,3,4
85.35,58,1228,32,9,5,4
79.69,58,1218,35,8,3,5
74,58,56,35,9,5,4
62.7,58,56,35,9,5,3
71.91,58,525,35,9,5,4
84.15,58,63,35,8,5,4
82.23,58,526,35,9,5,4
80.5,58,526,35,9,5,4
91,58,1145,35,8,3,6
88.87,58,1551,35,9,5,5
85.41,58,1551,35,8,5,5
92.96,58,1551,35,9,5,6
86.91,58,1551,35,9,5,5
91.44,58,1551,35,8,5,5
90.09,58,2224,31,9,5,5
89.73,58,1551,35,9,5,5
89.61,58,462,35,9,5,5
92.18,58,1551,35,9,5,6
88.17,58,1551,35,9,5,5
87.83,58,689,28,9,4,5
78.39,58,2296,35,9,5,4
71.17,58,2049,8,8,3,4
69.35,58,1620,8,9,5,4
89.04,58,181,35,9,5,5
68.39,58,1461,28,9,5,3
93.07,58,428,35,8,5,6
83.18,58,477,11,9,3,5
86.3,58,1872,43,9,5,5
69,58,1461,28,9,5,3
60.88,58,2152,11,9,5,3
83.91,58,2102,11,9,5,5
71.78,58,289,43,8,2,3
81.15,58,181,35,8,5,5
91.87,58,525,35,9,5,6
71.83,58,1875,11,9,5,4
68.09,58,478,11,9,5,4
88.11,58,2152,11,8,5,4
88.19,58,2152,11,8,5,4
76.45,58,478,11,9,5,4
72.7,58,478,11,8,5,4
69.05,58,478,11,9,5,4
81.55,58,2059,35,9,5,5
66.39,58,478,11,9,5,4
76,58,326,11,9,5,4
88.26,58,326,11,9,5,5
69.65,58,2431,11,9,5,4
87.48,58,326,11,9,5,5
95.33,58,2028,35,8,5,5
76.78,58,478,11,9,5,5
60.13,58,2152,11,9,5,3
71.03,58,462,35,8,5,4
67.56,58,2102,11,9,5,4
80.57,58,2102,11,9,5,5
66.56,58,428,35,8,5,4
78.91,58,2102,11,9,5,4
93.22,58,1551,35,8,5,5
73,58,1221,35,8,5,4
60.72,58,1621,11,8,3,3
68.83,58,609,11,8,3,3
88.78,58,215,11,9,5,5
78.61,58,2169,31,8,5,4
89.78,58,1836,10,8,3,5
83.48,58,856,10,9,5,5
67.25,58,1156,10,8,3,3
92.57,58,1165,14,9,5,6
75.22,58,2,10,8,2,4
75.14,58,1836,10,8,3,5
67.52,58,1797,10,9,2,3
91.74,58,323,10,9,5,6
69.43,58,1797,10,9,2,4
59.89,58,323,10,9,5,4
84.39,58,1426,10,9,5,5
88.59,58,2152,11,8,5,4
82.65,58,323,10,9,5,5
79.22,58,2308,35,8,5,5
64.52,58,1114,13,9,5,3
66.61,58,1114,13,9,5,3
76.78,58,1114,13,9,5,4
65.48,58,1813,21,9,5,3
72.09,58,1114,13,9,5,4
74.7,58,1180,6,9,5,4
88.97,58,1712,6,8,3,6
68.7,58,1180,6,9,5,3
71.13,58,1180,6,9,5,3
82.73,58,1856,35,9,2,5
78.13,58,1180,6,9,5,4
86.04,58,2323,35,9,4,5
71.23,58,1769,25,9,5,4
75.64,58,1403,6,9,5,4
83.78,58,186,27,9,5,5
75.36,58,447,6,9,2,4
73.3,58,1403,6,9,5,4
64.96,58,2003,34,9,2,3
63.09,58,501,6,8,3,4
70.91,58,501,6,8,3,4
62.17,58,1551,35,8,5,3
77.97,58,1384,14,8,3,4
89.87,58,1551,35,9,5,5
90.78,58,1010,14,9,5,5
83.87,58,1010,14,9,5,4
83.22,58,1010,14,9,5,4
84.78,58,1010,14,9,5,4
64.47,58,1856,35,9,2,4
67.06,58,2202,1,9,5,3
76,58,2296,35,9,5,4
75.71,58,593,11,9,4,5
75,58,2285,25,9,5,4
79.61,58,2440,30,9,5,4
71.43,58,2440,30,9,5,3
88.22,58,2299,30,9,5,5
73.39,58,2427,30,9,5,4
81.83,58,384,30,9,5,5
61.31,58,385,30,8,5,3
91.33,58,329,30,8,5,5
70.78,58,2424,30,9,5,4
71.39,58,2424,30,9,5,4
83.35,58,384,30,9,5,5
82.59,58,455,16,8,3,5
86.87,6,540,30,9,2,5
89.31,21,338,30,8,3,6
67.08,49,1434,30,9,2,4
66,49,1434,30,9,2,3
73.71,58,345,30,9,3,4
79.91,58,345,30,9,3,4
75.62,58,2299,30,9,5,4
92.22,58,628,30,8,5,5
75.17,58,2379,30,9,5,4
63.03,58,2438,30,9,5,4
77.94,58,628,30,9,5,4
94.65,58,2299,30,9,5,5
88.75,58,628,30,8,5,5
93.22,58,2299,30,9,5,5
91.09,58,2299,30,9,5,5
82.48,58,384,30,9,5,5
68.91,58,384,30,9,5,4
68.73,58,2427,30,9,5,3
69.65,58,2427,30,9,5,4
76.28,58,2425,30,8,5,4
69.39,58,344,30,9,2,4
81.39,58,827,44,9,5,5
84.17,58,280,30,9,5,5
71.12,6,540,30,9,2,3
67.39,6,540,30,8,2,3
69.44,58,2299,30,9,5,4
79.13,58,384,30,9,5,4
83.87,58,2439,30,9,5,4
87.26,58,280,30,9,5,5
89.04,58,2438,30,9,5,5
72.17,58,2440,30,9,5,4
82.83,58,286,30,8,3,5
67.61,58,601,30,9,2,3
71.3,58,2424,30,9,5,4
65.94,63,603,30,8,3,4
67.26,45,603,30,9,3,3
70.75,46,1131,30,8,3,4
72.28,16,1131,30,8,3,4
89.7,77,2299,30,9,5,5
61.19,58,355,30,8,3,4
77.83,58,230,30,9,4,5
82.41,58,513,30,8,5,5
67.87,58,540,30,9,2,4
90.7,58,513,30,8,5,5
61.67,58,628,30,8,5,4
74.04,58,513,30,8,5,4
76.17,58,384,30,9,5,4
75.17,58,2427,30,9,5,4
58.33,16,1434,30,8,2,3
72.69,46,1538,30,8,3,4
76.03,63,1538,30,9,3,4
62.64,40,2424,30,8,5,4
85.93,58,1506,35,8,5,4
85.78,58,1922,7,9,5,5
71.57,58,72,43,9,5,4
89.53,58,1807,43,8,3,6
65.17,58,2299,30,9,5,3
92.26,58,2299,30,9,5,5
84.65,58,1336,43,9,5,5
72.81,58,1142,43,8,3,4
96.39,58,1861,43,8,3,6
65.52,58,1300,43,9,5,3
94.26,58,1137,43,9,5,6
63.91,58,1300,43,9,5,3
93.19,58,2098,43,8,3,6
82.39,58,406,43,9,5,5
94.5,77,1142,43,8,3,6
81.13,58,406,43,9,5,5
79.87,58,406,43,9,5,4
68.53,58,2277,44,8,3,3
72.75,58,1339,43,8,2,4
82.39,58,907,45,9,5,5
72.42,58,289,43,8,3,4
